종목,티커,단타확률,중장기확률,단타정확도,중장기정확도,신호
광명전기,017040.KS,56.02,62.73,51.23,49.21,SELL
한국캐피탈,023760.KS,48.56,62.73,53.69,54.05,BUY
아비코전자,036010.KS,59.14,62.72,50.34,51.58,SELL
디케이앤디,263020.KS,31.29,62.69,54.61,46.29,SELL
가비아,079940.KS,50.75,62.56,52.46,51.69,SELL
DSR제강,069730.KS,56.16,62.55,53.58,48.09,BUY
대성미생물,036480.KS,80.48,62.55,57.05,51.91,SELL
한일화학,007770.KS,57.01,62.53,54.03,43.36,SELL
한국팩키지,037230.KS,51.32,62.5,53.36,44.48,BUY
CJ씨푸드,011150.KS,46.04,62.46,52.46,52.25,SELL
동국알앤에스,075970.KS,50.16,62.46,54.25,51.13,SELL
비비씨,318410.KS,42.94,62.38,54.43,63.5,SELL
모델솔루션,417970.KS,50.49,62.38,51.64,53.78,SELL
모코엠시스,333050.KS,46.19,62.27,52.93,52.41,SELL
LS티라유텍,322180.KS,46.43,62.26,53.36,50.66,SELL
이구산업,025820.KS,44.13,62.23,49.11,56.87,SELL
아진산업,013310.KS,44.77,62.22,54.57,51.49,SELL
동남합성,023450.KS,47.62,62.2,55.93,42.79,SELL
SK,034730.KS,48.57,62.2,49.66,56.64,BUY
LG생활건강,051900.KS,53.12,62.19,55.7,46.73,SELL
하림,136480.KS,59.74,62.16,54.59,55.63,SELL
아세아,002030.KS,50.6,62.14,51.9,48.31,SELL
에코글로우,159910.KS,36.75,62.08,64.54,58.22,BUY
아이즈비전,031310.KS,61.57,62.03,50.67,51.01,SELL
일진파워,094820.KS,61.55,62.01,54.03,51.13,SELL
동국생명과학,303810.KS,29.3,62.0,52.11,73.85,SELL
영우디에스피,143540.KS,42.96,61.99,53.25,52.31,BUY
레드캡투어,038390.KS,41.72,61.97,52.57,55.52,SELL
아셈스,136410.KS,62.55,61.93,55.29,58.68,SELL
엘리비젼,276240.KS,91.26,61.88,67.92,71.43,SELL
오스코텍,039200.KS,44.82,61.87,51.57,56.64,SELL
토탈소프트,045340.KS,58.11,61.86,52.24,49.1,SELL
DSR,155660.KS,44.61,61.86,51.12,47.07,SELL
경방,000050.KS,49.33,61.77,54.7,57.66,SELL
환인제약,016580.KS,64.44,61.7,55.37,59.46,SELL
사조대림,003960.KS,63.15,61.69,52.24,47.07,SELL
성우테크론,045300.KS,63.53,61.68,53.47,51.8,SELL
다날,064260.KS,56.92,61.67,51.57,56.98,SELL
바이오스마트,038460.KS,65.25,61.59,55.37,54.84,SELL
에스엠벡셀,010580.KS,58.78,61.59,55.37,55.86,SELL
엠씨넥스,097520.KS,40.81,61.56,51.57,51.01,SELL
금양그린파워,282720.KS,44.09,61.52,47.17,53.88,BUY
흥구석유,024060.KS,8.31,61.52,54.14,55.18,BUY
뉴키즈온,462310.KS,45.13,61.5,59.52,61.11,SELL
웰크론한텍,076080.KS,69.21,61.46,50.22,50.11,SELL
대상,001680.KS,30.25,61.43,52.91,51.46,SELL
큐리언트,115180.KS,75.01,61.4,50.21,49.45,SELL
이엔에프테크놀로지,102710.KS,57.78,61.32,52.24,50.9,SELL
동방아그로,007590.KS,37.31,61.32,51.34,46.62,SELL
KG모빌리티,003620.KS,49.17,61.29,63.42,65.54,SELL
동원수산,030720.KS,44.78,61.28,53.24,47.64,SELL
아남전자,008700.KS,48.31,61.27,56.94,48.65,SELL
한솔케미칼,014680.KS,52.54,61.22,50.89,48.09,BUY
HLB바이오스텝,278650.KS,35.95,61.2,56.58,54.44,SELL
GRT,900290.KS,46.37,61.19,50.66,51.99,BUY
덴티움,145720.KS,61.89,61.15,53.98,49.85,SELL
한국앤컴퍼니,000240.KS,40.2,61.12,52.46,50.23,SELL
EDGC,245620.KS,38.29,61.12,90.91,9.91,WAIT
현대에이치티,039010.KS,49.72,61.11,52.35,50.45,SELL
티에이치엔,019180.KS,69.97,61.1,52.57,52.36,SELL
LX인터내셔널,001120.KS,48.94,61.1,51.57,48.76,SELL
