name,ticker
딥노이드,315640.KS
한컴라이프케어,372910.KS
엠로,058970.KS
플래티어,367000.KS
원티드랩,376980.KS
크래프톤,259960.KS
HK이노엔,195940.KS
PI첨단소재,178920.KS
카카오뱅크,323410.KS
에브리봇,270660.KS
비트맥스,377030.KS
큐라클,365270.KS
에스디바이오센서,137310.KS
오비고,352910.KS
엠씨넥스,097520.KS
아모센스,357580.KS
타임기술,318660.KS
이노뎁,303530.KS
라온로보틱스,232680.KS
이성씨엔아이,379390.KS
현대ADM,187660.KS
에코프로에이치엔,383310.KS
LX홀딩스,383800.KS
진시스템,363250.KS
한울앤제주,276730.KS
F&F,383220.KS
삼영에스앤씨,361670.KS
샘씨엔에스,252990.KS
씨앤씨인터내셔널,352480.KS
에이치피오,357230.KS
SK아이이테크놀로지,361610.KS
쿠콘,294570.KS
이삭엔지니어링,351330.KS
해성에어로보틱스,059270.KS
엔시스,333620.KS
자이언트스텝,289220.KS
제노코,361390.KS
스피어,347700.KS
SK바이오사이언스,302440.KS
바이오다인,314930.KS
네오이뮨텍,950220.KS
화승알앤에이,378850.KS
싸이버원,356890.KS
프레스티지바이오로직스,334970.KS
나노씨엠에스,247660.KS
뷰노,338220.KS
엑스플러스,373200.KS
유일에너테크,340930.KS
씨이랩,189330.KS
오로스테크놀로지,322310.KS
피엔에이치테크,239890.KS
모비데이즈,363260.KS
아이퀘스트,262840.KS
프레스티지바이오파마,950210.KS
레인보우로보틱스,277810.KS
아티스트컴퍼니,321820.KS
솔루엠,248070.KS
핑거,163730.KS
모비릭스,348030.KS
씨앤투스,352700.KS
선진뷰티사이언스,086710.KS
DL이앤씨,375500.KS
엔비티,236810.KS
파이버프로,368770.KS
나우코스,257990.KS
루트락,253610.KS
ESR켄달스퀘어리츠,365550.KS
블리츠웨이엔터테인먼트,369370.KS
석경에이티,357550.KS
지놈앤컴퍼니,314130.KS
프리시젼바이오,335810.KS
알체라,347860.KS
하이딥,365590.KS
에프앤가이드,064850.KS
티엘비,356860.KS
인바이오,352940.KS
엔젠바이오,354200.KS
퀀타매트릭스,317690.KS
명신산업,009900.KS
셀레스트라,352770.KS
포인트모바일,318020.KS
앱코,129890.KS
엔에프씨,265740.KS
제일일렉트릭,199820.KS
하나기술,299030.KS
에이플러스에셋,244920.KS
티앤엘,340570.KS
고바이오랩,348150.KS
